person,personLabel,birthDate,genderLabel,partyLabel,start,end,positionLabel,cityLabel,start_year,end_year,birth_year,age_at_start
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18 00:00:00+00:00,male,Republican Party of Minnesota,1876-04-11 00:00:00+00:00,1877-04-10 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,1876,1877,1842,34
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18 00:00:00+00:00,male,Republican Party of Minnesota,1882-04-11 00:00:00+00:00,1884-04-08 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,1882,1884,1842,40
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18 00:00:00+00:00,male,Republican Party of Minnesota,1886-04-13 00:00:00+00:00,1889-01-07 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,1886,1889,1842,44
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18 00:00:00+00:00,male,Republican Party of Minnesota,1901-01-07 00:00:00+00:00,1902-08-27 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,1901,1902,1842,59
http://www.wikidata.org/entity/Q4668117,Abner C. Brownell,1813-01-01 00:00:00+00:00,male,Democratic Party,1852-01-01 00:00:00+00:00,1854-12-31 00:00:00+00:00,mayor of Cleveland,Cleveland,1852,1854,1813,39
http://www.wikidata.org/entity/Q329910,Abraham Beame,1906-03-20 00:00:00+00:00,male,Democratic Party,1974-01-01 00:00:00+00:00,1977-12-31 00:00:00+00:00,Mayor of New York City,New York City,1974,1977,1906,68
http://www.wikidata.org/entity/Q4648216,Abraham Oakley Hall,1826-07-26 00:00:00+00:00,male,Republican Party,1869-01-04 00:00:00+00:00,1872-01-01 00:00:00+00:00,Mayor of New York City,New York City,1869,1872,1826,43
http://www.wikidata.org/entity/Q2738550,Abram Stevens Hewitt,1822-07-31 00:00:00+00:00,male,Democratic Party,1887-01-01 00:00:00+00:00,1888-12-31 00:00:00+00:00,Mayor of New York City,New York City,1887,1888,1822,65
http://www.wikidata.org/entity/Q214461,Adolph Sutro,1830-04-29 00:00:00+00:00,male,People's Party,1895-01-07 00:00:00+00:00,1897-01-03 00:00:00+00:00,mayor of San Francisco,City and County of San Francisco,1895,1897,1830,65
http://www.wikidata.org/entity/Q372911,Adrian Fenty,1970-12-06 00:00:00+00:00,male,Democratic Party,2007-01-01 00:00:00+00:00,2011-01-01 00:00:00+00:00,Mayor of the District of Columbia,District of Columbia,2007,2011,1970,37
http://www.wikidata.org/entity/Q16221710,Aja Brown,1982-04-17 00:00:00+00:00,female,Democratic Party,2013-07-02 00:00:00+00:00,2021-06-30 00:00:00+00:00,"Mayor of Compton, California",Compton,2013,2021,1982,31
http://www.wikidata.org/entity/Q17102155,Alan Webber,1948-09-18 00:00:00+00:00,male,Democratic Party,2018-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,Alcalde-Mayor of Santa Fe,Santa Fe,2018,2025,1948,70
http://www.wikidata.org/entity/Q4709943,Albert Cobo,1893-10-02 00:00:00+00:00,male,Republican Party,1950-01-03 00:00:00+00:00,1957-09-12 00:00:00+00:00,"Mayor of Detroit, Michigan",Detroit,1950,1957,1893,57
http://www.wikidata.org/entity/Q4717308,Alex Knopp,1947-01-01 00:00:00+00:00,male,Democratic Party,2001-01-01 00:00:00+00:00,2005-01-01 00:00:00+00:00,"mayor of Norwalk, Connecticut",Norwalk,2001,2005,1947,54
http://www.wikidata.org/entity/Q18153287,Alex M. Hyer,1848-01-01 00:00:00+00:00,male,Democratic Party,1879-01-01 00:00:00+00:00,1880-01-01 00:00:00+00:00,"Mayor of Orlando, Florida",Orlando,1879,1880,1848,31
http://www.wikidata.org/entity/Q4717614,Alex Penelas,1961-12-18 00:00:00+00:00,male,Democratic Party,1996-10-01 00:00:00+00:00,2004-11-06 00:00:00+00:00,Mayor of Miami-Dade County,Miami-Dade County,1996,2004,1961,35
http://www.wikidata.org/entity/Q3246871,Alexander Loyd,1805-08-19 00:00:00+00:00,male,Democratic Party,1840-03-09 00:00:00+00:00,1841-03-04 00:00:00+00:00,Mayor of Chicago,Chicago,1840,1841,1805,35
http://www.wikidata.org/entity/Q110732198,Alexander McMillan,1825-10-23 00:00:00+00:00,male,Republican Party,1871-01-01 00:00:00+00:00,1872-01-01 00:00:00+00:00,"Mayor of La Crosse, Wisconsin",La Crosse,1871,1872,1825,46
http://www.wikidata.org/entity/Q27967786,Allen M. Thomas,1969-07-05 00:00:00+00:00,male,Democratic Party,2011-12-05 00:00:00+00:00,2017-06-22 00:00:00+00:00,"Mayor of Greenville, North Carolina",Greenville,2011,2017,1969,42
http://www.wikidata.org/entity/Q4732804,Allison Nelson,1822-03-11 00:00:00+00:00,male,Democratic Party,1855-01-26 00:00:00+00:00,1855-07-06 00:00:00+00:00,"Mayor of Atlanta, Georgia",Atlanta,1855,1855,1822,33
http://www.wikidata.org/entity/Q23137909,Allison Silberberg,1963-01-01 00:00:00+00:00,female,Democratic Party,2016-01-04 00:00:00+00:00,2019-01-02 00:00:00+00:00,"Mayor of Alexandria, Virginia",Alexandria,2016,2019,1963,53
http://www.wikidata.org/entity/Q20963420,Alonzo Cooper Rand,1831-12-31 00:00:00+00:00,male,Republican Party,1878-04-09 00:00:00+00:00,1882-04-11 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,1878,1882,1831,47
http://www.wikidata.org/entity/Q20963420,Alonzo Cooper Rand,1832-12-31 00:00:00+00:00,male,Republican Party,1878-04-09 00:00:00+00:00,1882-04-11 00:00:00+00:00,Mayor of Minneapolis,Minneapolis,1878,1882,1832,46
http://www.wikidata.org/entity/Q4741804,Ambrose Cornelius Kingsland,1804-05-24 00:00:00+00:00,male,Whig Party,1851-01-01 00:00:00+00:00,1853-01-01 00:00:00+00:00,Mayor of New York City,New York City,1851,1853,1804,47
http://www.wikidata.org/entity/Q58885782,Amy Walen,1967-12-26 00:00:00+00:00,female,Democratic Party,2014-01-01 00:00:00+00:00,2019-01-31 00:00:00+00:00,"Mayor of Kirkland, Washington",Kirkland,2014,2019,1967,47
http://www.wikidata.org/entity/Q4757092,Andrew Gillum,1979-07-26 00:00:00+00:00,male,Democratic Party,2014-11-21 00:00:00+00:00,2018-11-19 00:00:00+00:00,"Mayor of Tallahassee, Florida",Tallahassee,2014,2018,1979,35
http://www.wikidata.org/entity/Q4757092,Andrew Gillum,1979-07-26 00:00:00+00:00,male,Florida Democratic Party,2014-11-21 00:00:00+00:00,2018-11-19 00:00:00+00:00,"Mayor of Tallahassee, Florida",Tallahassee,2014,2018,1979,35
http://www.wikidata.org/entity/Q4757202,Andrew Hutchins Mickle,1805-10-25 00:00:00+00:00,male,Democratic Party,1846-01-01 00:00:00+00:00,1847-01-01 00:00:00+00:00,Mayor of New York City,New York City,1846,1847,1805,41
http://www.wikidata.org/entity/Q959635,Andrew Young,1932-03-12 00:00:00+00:00,male,Democratic Party,1982-01-01 00:00:00+00:00,1990-01-01 00:00:00+00:00,"Mayor of Atlanta, Georgia",Atlanta,1982,1990,1932,50
http://www.wikidata.org/entity/Q4760428,Andy Berke,1968-03-31 00:00:00+00:00,male,Democratic Party,2013-04-15 00:00:00+00:00,2021-04-19 00:00:00+00:00,Mayor of Chattanooga,Chattanooga,2013,2021,1968,45
http://www.wikidata.org/entity/Q4762872,Angelo Errichetti,1928-09-29 00:00:00+00:00,male,Democratic Party,1973-01-01 00:00:00+00:00,1981-01-01 00:00:00+00:00,"Mayor of Camden, New Jersey",Camden,1973,1981,1928,45
http://www.wikidata.org/entity/Q4762896,Angelo Joseph Rossi,1878-01-22 00:00:00+00:00,male,Republican Party,1931-01-07 00:00:00+00:00,1944-01-08 00:00:00+00:00,mayor of San Francisco,City and County of San Francisco,1931,1944,1878,53
http://www.wikidata.org/entity/Q28836906,Ann Cummings,1946-07-20 00:00:00+00:00,female,Democratic Party,1990-07-01 00:00:00+00:00,1996-01-01 00:00:00+00:00,"Mayor of Montpelier, Vermont",Montpelier,1990,1996,1946,44
http://www.wikidata.org/entity/Q20740568,Anna Peterson,1947-05-30 00:00:00+00:00,female,Republican Party,2011-01-01 00:00:00+00:00,2016-01-01 00:00:00+00:00,Mayor of Salem,Salem,2011,2016,1947,64
http://www.wikidata.org/entity/Q52424176,Anne Watson,1981-01-01 00:00:00+00:00,female,independent politician,2018-03-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,"Mayor of Montpelier, Vermont",Montpelier,2018,2022,1981,37
http://www.wikidata.org/entity/Q213847,Annise Parker,1956-05-17 00:00:00+00:00,female,Democratic Party,2010-01-02 00:00:00+00:00,2016-01-02 00:00:00+00:00,Mayor of Houston,Houston,2010,2016,1956,54
http://www.wikidata.org/entity/Q3430687,Anthony A. Williams,1951-07-28 00:00:00+00:00,male,Democratic Party,1999-01-02 00:00:00+00:00,2007-01-02 00:00:00+00:00,Mayor of the District of Columbia,District of Columbia,1999,2007,1951,48
http://www.wikidata.org/entity/Q4772169,Anthony Bucco,1938-02-24 00:00:00+00:00,male,Republican Party,1984-01-01 00:00:00+00:00,1989-01-01 00:00:00+00:00,"Mayor of Boonton, New Jersey",Boonton,1984,1989,1938,46
http://www.wikidata.org/entity/Q4772543,Anthony Foxx,1971-04-30 00:00:00+00:00,male,Democratic Party,2009-12-07 00:00:00+00:00,2013-07-01 00:00:00+00:00,"Mayor of Charlotte, North Carolina",Charlotte,2009,2013,1971,38
http://www.wikidata.org/entity/Q359333,"Anthony Joseph Celebrezze, Sr.",1910-09-04 00:00:00+00:00,male,Democratic Party,1954-01-01 00:00:00+00:00,1961-12-31 00:00:00+00:00,mayor of Cleveland,Cleveland,1954,1961,1910,44
http://www.wikidata.org/entity/Q4773322,Anthony R. Cucci,1922-08-08 00:00:00+00:00,male,Democratic Party,1985-07-01 00:00:00+00:00,1989-06-30 00:00:00+00:00,"Mayor of Jersey City, New Jersey",Jersey City,1985,1989,1922,63
http://www.wikidata.org/entity/Q295318,Anton Cermak,1873-05-09 00:00:00+00:00,male,Democratic Party,1931-04-07 00:00:00+00:00,1933-03-06 00:00:00+00:00,Mayor of Chicago,Chicago,1931,1933,1873,58
