person,personLabel,birthDate,genderLabel,partyLabel,start,end,positionLabel,cityLabel
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1876-04-11T00:00:00Z,1877-04-10T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1882-04-11T00:00:00Z,1884-04-08T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1886-04-13T00:00:00Z,1889-01-07T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q4647455,A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1901-01-07T00:00:00Z,1902-08-27T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q4668117,Abner C. Brownell,1813-01-01T00:00:00Z,male,Democratic Party,1852-01-01T00:00:00Z,1854-12-31T00:00:00Z,mayor of Cleveland,Cleveland
http://www.wikidata.org/entity/Q329910,Abraham Beame,1906-03-20T00:00:00Z,male,Democratic Party,1974-01-01T00:00:00Z,1977-12-31T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q4648216,Abraham Oakley Hall,1826-07-26T00:00:00Z,male,Republican Party,1869-01-04T00:00:00Z,1872-01-01T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q2738550,Abram Stevens Hewitt,1822-07-31T00:00:00Z,male,Democratic Party,1887-01-01T00:00:00Z,1888-12-31T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q214461,Adolph Sutro,1830-04-29T00:00:00Z,male,People's Party,1895-01-07T00:00:00Z,1897-01-03T00:00:00Z,mayor of San Francisco,City and County of San Francisco
http://www.wikidata.org/entity/Q372911,Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia
http://www.wikidata.org/entity/Q16221710,Aja Brown,1982-04-17T00:00:00Z,female,Democratic Party,2013-07-02T00:00:00Z,2021-06-30T00:00:00Z,"Mayor of Compton, California",Compton
http://www.wikidata.org/entity/Q17102155,Alan Webber,1948-09-18T00:00:00Z,male,Democratic Party,2018-01-01T00:00:00Z,2025-01-01T00:00:00Z,Alcalde-Mayor of Santa Fe,Santa Fe
http://www.wikidata.org/entity/Q4709943,Albert Cobo,1893-10-02T00:00:00Z,male,Republican Party,1950-01-03T00:00:00Z,1957-09-12T00:00:00Z,"Mayor of Detroit, Michigan",Detroit
http://www.wikidata.org/entity/Q4717308,Alex Knopp,1947-01-01T00:00:00Z,male,Democratic Party,2001-01-01T00:00:00Z,2005-01-01T00:00:00Z,"mayor of Norwalk, Connecticut",Norwalk
http://www.wikidata.org/entity/Q18153287,Alex M. Hyer,1848-01-01T00:00:00Z,male,Democratic Party,1879-01-01T00:00:00Z,1880-01-01T00:00:00Z,"Mayor of Orlando, Florida",Orlando
http://www.wikidata.org/entity/Q4717614,Alex Penelas,1961-12-18T00:00:00Z,male,Democratic Party,1996-10-01T00:00:00Z,2004-11-06T00:00:00Z,Mayor of Miami-Dade County,Miami-Dade County
http://www.wikidata.org/entity/Q3246871,Alexander Loyd,1805-08-19T00:00:00Z,male,Democratic Party,1840-03-09T00:00:00Z,1841-03-04T00:00:00Z,Mayor of Chicago,Chicago
http://www.wikidata.org/entity/Q110732198,Alexander McMillan,1825-10-23T00:00:00Z,male,Republican Party,1871-01-01T00:00:00Z,1872-01-01T00:00:00Z,"Mayor of La Crosse, Wisconsin",La Crosse
http://www.wikidata.org/entity/Q27967786,Allen M. Thomas,1969-07-05T00:00:00Z,male,Democratic Party,2011-12-05T00:00:00Z,2017-06-22T00:00:00Z,"Mayor of Greenville, North Carolina",Greenville
http://www.wikidata.org/entity/Q4732804,Allison Nelson,1822-03-11T00:00:00Z,male,Democratic Party,1855-01-26T00:00:00Z,1855-07-06T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta
http://www.wikidata.org/entity/Q23137909,Allison Silberberg,1963-01-01T00:00:00Z,female,Democratic Party,2016-01-04T00:00:00Z,2019-01-02T00:00:00Z,"Mayor of Alexandria, Virginia",Alexandria
http://www.wikidata.org/entity/Q20963420,Alonzo Cooper Rand,1831-12-31T00:00:00Z,male,Republican Party,1878-04-09T00:00:00Z,1882-04-11T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q20963420,Alonzo Cooper Rand,1832-12-31T00:00:00Z,male,Republican Party,1878-04-09T00:00:00Z,1882-04-11T00:00:00Z,Mayor of Minneapolis,Minneapolis
http://www.wikidata.org/entity/Q4741804,Ambrose Cornelius Kingsland,1804-05-24T00:00:00Z,male,Whig Party,1851-01-01T00:00:00Z,1853-01-01T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q58885782,Amy Walen,1967-12-26T00:00:00Z,female,Democratic Party,2014-01-01T00:00:00Z,2019-01-31T00:00:00Z,"Mayor of Kirkland, Washington",Kirkland
http://www.wikidata.org/entity/Q4757092,Andrew Gillum,1979-07-26T00:00:00Z,male,Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee
http://www.wikidata.org/entity/Q4757092,Andrew Gillum,1979-07-26T00:00:00Z,male,Florida Democratic Party,2014-11-21T00:00:00Z,2018-11-19T00:00:00Z,"Mayor of Tallahassee, Florida",Tallahassee
http://www.wikidata.org/entity/Q4757202,Andrew Hutchins Mickle,1805-10-25T00:00:00Z,male,Democratic Party,1846-01-01T00:00:00Z,1847-01-01T00:00:00Z,Mayor of New York City,New York City
http://www.wikidata.org/entity/Q959635,Andrew Young,1932-03-12T00:00:00Z,male,Democratic Party,1982-01-01T00:00:00Z,1990-01-01T00:00:00Z,"Mayor of Atlanta, Georgia",Atlanta
http://www.wikidata.org/entity/Q4760428,Andy Berke,1968-03-31T00:00:00Z,male,Democratic Party,2013-04-15T00:00:00Z,2021-04-19T00:00:00Z,Mayor of Chattanooga,Chattanooga
http://www.wikidata.org/entity/Q4762872,Angelo Errichetti,1928-09-29T00:00:00Z,male,Democratic Party,1973-01-01T00:00:00Z,1981-01-01T00:00:00Z,"Mayor of Camden, New Jersey",Camden
http://www.wikidata.org/entity/Q4762896,Angelo Joseph Rossi,1878-01-22T00:00:00Z,male,Republican Party,1931-01-07T00:00:00Z,1944-01-08T00:00:00Z,mayor of San Francisco,City and County of San Francisco
http://www.wikidata.org/entity/Q28836906,Ann Cummings,1946-07-20T00:00:00Z,female,Democratic Party,1990-07-01T00:00:00Z,1996-01-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier
http://www.wikidata.org/entity/Q20740568,Anna Peterson,1947-05-30T00:00:00Z,female,Republican Party,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z,Mayor of Salem,Salem
http://www.wikidata.org/entity/Q52424176,Anne Watson,1981-01-01T00:00:00Z,female,independent politician,2018-03-01T00:00:00Z,2022-12-01T00:00:00Z,"Mayor of Montpelier, Vermont",Montpelier
http://www.wikidata.org/entity/Q213847,Annise Parker,1956-05-17T00:00:00Z,female,Democratic Party,2010-01-02T00:00:00Z,2016-01-02T00:00:00Z,Mayor of Houston,Houston
http://www.wikidata.org/entity/Q3430687,Anthony A. Williams,1951-07-28T00:00:00Z,male,Democratic Party,1999-01-02T00:00:00Z,2007-01-02T00:00:00Z,Mayor of the District of Columbia,District of Columbia
http://www.wikidata.org/entity/Q4772169,Anthony Bucco,1938-02-24T00:00:00Z,male,Republican Party,1984-01-01T00:00:00Z,1989-01-01T00:00:00Z,"Mayor of Boonton, New Jersey",Boonton
http://www.wikidata.org/entity/Q4772543,Anthony Foxx,1971-04-30T00:00:00Z,male,Democratic Party,2009-12-07T00:00:00Z,2013-07-01T00:00:00Z,"Mayor of Charlotte, North Carolina",Charlotte
http://www.wikidata.org/entity/Q359333,"Anthony Joseph Celebrezze, Sr.",1910-09-04T00:00:00Z,male,Democratic Party,1954-01-01T00:00:00Z,1961-12-31T00:00:00Z,mayor of Cleveland,Cleveland
http://www.wikidata.org/entity/Q4773322,Anthony R. Cucci,1922-08-08T00:00:00Z,male,Democratic Party,1985-07-01T00:00:00Z,1989-06-30T00:00:00Z,"Mayor of Jersey City, New Jersey",Jersey City
