personLabel,birthDate,genderLabel,partyLabel,start,end,positionLabel,cityLabel,eduLabel,eduTypeLabel
A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1876-04-11T00:00:00Z,1877-04-10T00:00:00Z,Mayor of Minneapolis,Minneapolis,Rush Medical College,medical school
A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1882-04-11T00:00:00Z,1884-04-08T00:00:00Z,Mayor of Minneapolis,Minneapolis,Rush Medical College,medical school
A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1886-04-13T00:00:00Z,1889-01-07T00:00:00Z,Mayor of Minneapolis,Minneapolis,Rush Medical College,medical school
A. A. Ames,1842-01-18T00:00:00Z,male,Republican Party of Minnesota,1901-01-07T00:00:00Z,1902-08-27T00:00:00Z,Mayor of Minneapolis,Minneapolis,Rush Medical College,medical school
Abraham Beame,1906-03-20T00:00:00Z,male,Democratic Party,1974-01-01T00:00:00Z,1977-12-31T00:00:00Z,Mayor of New York City,New York City,Baruch College,university
Abraham Beame,1906-03-20T00:00:00Z,male,Democratic Party,1974-01-01T00:00:00Z,1977-12-31T00:00:00Z,Mayor of New York City,New York City,Baruch College,public educational institution of the United States
Abraham Beame,1906-03-20T00:00:00Z,male,Democratic Party,1974-01-01T00:00:00Z,1977-12-31T00:00:00Z,Mayor of New York City,New York City,City College of New York,higher education institution
Abraham Beame,1906-03-20T00:00:00Z,male,Democratic Party,1974-01-01T00:00:00Z,1977-12-31T00:00:00Z,Mayor of New York City,New York City,City College of New York,public educational institution of the United States
Abraham Beame,1906-03-20T00:00:00Z,male,Democratic Party,1974-01-01T00:00:00Z,1977-12-31T00:00:00Z,Mayor of New York City,New York City,Zicklin School of Business,business school
Abraham Oakley Hall,1826-07-26T00:00:00Z,male,Republican Party,1869-01-04T00:00:00Z,1872-01-01T00:00:00Z,Mayor of New York City,New York City,Harvard Law School,law school
Abraham Oakley Hall,1826-07-26T00:00:00Z,male,Republican Party,1869-01-04T00:00:00Z,1872-01-01T00:00:00Z,Mayor of New York City,New York City,Harvard Law School,publishing company
Abraham Oakley Hall,1826-07-26T00:00:00Z,male,Republican Party,1869-01-04T00:00:00Z,1872-01-01T00:00:00Z,Mayor of New York City,New York City,Harvard Law School,graduate school
Abram Stevens Hewitt,1822-07-31T00:00:00Z,male,Democratic Party,1887-01-01T00:00:00Z,1888-12-31T00:00:00Z,Mayor of New York City,New York City,Columbia University,organization
Abram Stevens Hewitt,1822-07-31T00:00:00Z,male,Democratic Party,1887-01-01T00:00:00Z,1888-12-31T00:00:00Z,Mayor of New York City,New York City,Columbia University,private university
Abram Stevens Hewitt,1822-07-31T00:00:00Z,male,Democratic Party,1887-01-01T00:00:00Z,1888-12-31T00:00:00Z,Mayor of New York City,New York City,Columbia University,Colonial Colleges
Abram Stevens Hewitt,1822-07-31T00:00:00Z,male,Democratic Party,1887-01-01T00:00:00Z,1888-12-31T00:00:00Z,Mayor of New York City,New York City,Columbia University,research university
Abram Stevens Hewitt,1822-07-31T00:00:00Z,male,Democratic Party,1887-01-01T00:00:00Z,1888-12-31T00:00:00Z,Mayor of New York City,New York City,Columbia University,private not-for-profit educational institution
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Howard University School of Law,law school
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Jackson-Reed High School,high school
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Jackson-Reed High School,public school
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Oberlin College,school
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Oberlin College,college
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Oberlin College,private university
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Oberlin College,liberal arts college
Adrian Fenty,1970-12-06T00:00:00Z,male,Democratic Party,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,Mayor of the District of Columbia,District of Columbia,Oberlin College,private not-for-profit educational institution
